round,accuracy,loss
1,0.9324522760646109,0.20804970211695967
2,0.9889867841409692,0.044591897706024695
3,0.9882525697503671,0.04315340821834303
4,0.9882525697503671,0.03984921139077457
5,0.9889867841409692,0.039635993945879355
6,0.9904552129221733,0.037211363275737104
7,0.9904552129221733,0.031155728466665308
8,0.9933920704845814,0.02756203999363839
9,0.9919236417033774,0.02732440322328922
10,0.9911894273127754,0.02696695506943628
11,0.9933920704845814,0.02469917768571894
12,0.9919236417033774,0.023879911182015094
13,0.9897209985315712,0.027379475447327592
14,0.9926578560939795,0.022424785490689235
15,0.9926578560939795,0.024275603850350477
16,0.9955947136563876,0.01872058628163528
17,0.9970631424375918,0.018842521228158826
18,0.9963289280469897,0.016584478990575177
19,0.9919236417033774,0.022347501137965294
20,0.9941262848751835,0.015839191031138695
