round,accuracy,loss
0,0.375,0.044105745469912506
1,0.6634615384615384,0.04092996063618324
2,0.7884615384615384,0.03672402990886416
3,0.8012820512820513,0.03603467548218293
4,0.8653846153846154,0.024508217233233154
5,0.8317307692307693,0.03403610122413971
6,0.7564102564102564,0.05053184755767385
7,0.8012820512820513,0.03653832089203673
8,0.8173076923076923,0.03522861049247858
9,0.8205128205128205,0.03836975921279727
10,0.8253205128205128,0.03669476497154205
11,0.7612179487179487,0.0526442212315324
12,0.8461538461538461,0.028147728636096686
13,0.7948717948717948,0.0462785460986197
14,0.8541666666666666,0.03183277809801392
15,0.8253205128205128,0.03948440280957864
16,0.8221153846153846,0.04315205273003532
17,0.8092948717948718,0.04092264159295995
18,0.842948717948718,0.03552727678862329
19,0.8108974358974359,0.045873619842892274
20,0.7884615384615384,0.05708408165866366
